market,event_type,timestamp,signature,slot,sequence_number,event_index,maker,taker,price,side,quantity
5iLqmcg8vifdnnw6wEpVtQxFE4Few5uiceDWzi3jvzH8,Place,1671436483,3RKz3wrWsnXkYVdAgMEHwDfmEAbkBNrtyCBJaAdRkobHgh9Ht1osAwRa6ej84srvt7qJ6sRXCxC8cKY9JdfKZma3,183119531,1141330,0,mkrc4jMLEPRoKLUnNL7Ctnwb7uJykbwiYvFjB4sw9Z9,,12.125,Bid,164.948
5iLqmcg8vifdnnw6wEpVtQxFE4Few5uiceDWzi3jvzH8,Place,1671436483,3RKz3wrWsnXkYVdAgMEHwDfmEAbkBNrtyCBJaAdRkobHgh9Ht1osAwRa6ej84srvt7qJ6sRXCxC8cKY9JdfKZma3,183119531,1141331,0,mkrc4jMLEPRoKLUnNL7Ctnwb7uJykbwiYvFjB4sw9Z9,,12.44,Ask,401.929
5iLqmcg8vifdnnw6wEpVtQxFE4Few5uiceDWzi3jvzH8,Place,1671436483,3RKz3wrWsnXkYVdAgMEHwDfmEAbkBNrtyCBJaAdRkobHgh9Ht1osAwRa6ej84srvt7qJ6sRXCxC8cKY9JdfKZma3,183119531,1141332,0,mkrc4jMLEPRoKLUnNL7Ctnwb7uJykbwiYvFjB4sw9Z9,,11.94,Bid,418.76
5iLqmcg8vifdnnw6wEpVtQxFE4Few5uiceDWzi3jvzH8,Reduce,1671436482,3onfu5Aa2HFtqi1ypUNGSpXZM2wdatjxfQrJtptRgTACt6TJkujWRVbjMNbXTVqpvfhfcQtEWcPHL7Hnm385Nhq,183119528,1141318,0,mkrc4jMLEPRoKLUnNL7Ctnwb7uJykbwiYvFjB4sw9Z9,,12.195,Bid,4.74
5iLqmcg8vifdnnw6wEpVtQxFE4Few5uiceDWzi3jvzH8,Reduce,1671436482,3onfu5Aa2HFtqi1ypUNGSpXZM2wdatjxfQrJtptRgTACt6TJkujWRVbjMNbXTVqpvfhfcQtEWcPHL7Hnm385Nhq,183119528,1141318,1,mkrc4jMLEPRoKLUnNL7Ctnwb7uJykbwiYvFjB4sw9Z9,,12.205,Ask,5.735
5iLqmcg8vifdnnw6wEpVtQxFE4Few5uiceDWzi3jvzH8,Reduce,1671436482,3onfu5Aa2HFtqi1ypUNGSpXZM2wdatjxfQrJtptRgTACt6TJkujWRVbjMNbXTVqpvfhfcQtEWcPHL7Hnm385Nhq,183119528,1141318,2,mkrc4jMLEPRoKLUnNL7Ctnwb7uJykbwiYvFjB4sw9Z9,,12.19,Bid,14.766
5iLqmcg8vifdnnw6wEpVtQxFE4Few5uiceDWzi3jvzH8,Reduce,1671436482,3onfu5Aa2HFtqi1ypUNGSpXZM2wdatjxfQrJtptRgTACt6TJkujWRVbjMNbXTVqpvfhfcQtEWcPHL7Hnm385Nhq,183119528,1141318,3,mkrc4jMLEPRoKLUnNL7Ctnwb7uJykbwiYvFjB4sw9Z9,,12.21,Ask,14.742
5iLqmcg8vifdnnw6wEpVtQxFE4Few5uiceDWzi3jvzH8,Reduce,1671436482,3onfu5Aa2HFtqi1ypUNGSpXZM2wdatjxfQrJtptRgTACt6TJkujWRVbjMNbXTVqpvfhfcQtEWcPHL7Hnm385Nhq,183119528,1141318,4,mkrc4jMLEPRoKLUnNL7Ctnwb7uJykbwiYvFjB4sw9Z9,,12.18,Bid,29.556
5iLqmcg8vifdnnw6wEpVtQxFE4Few5uiceDWzi3jvzH8,Reduce,1671436482,3onfu5Aa2HFtqi1ypUNGSpXZM2wdatjxfQrJtptRgTACt6TJkujWRVbjMNbXTVqpvfhfcQtEWcPHL7Hnm385Nhq,183119528,1141318,5,mkrc4jMLEPRoKLUnNL7Ctnwb7uJykbwiYvFjB4sw9Z9,,12.22,Ask,29.459
5iLqmcg8vifdnnw6wEpVtQxFE4Few5uiceDWzi3jvzH8,Reduce,1671436482,3onfu5Aa2HFtqi1ypUNGSpXZM2wdatjxfQrJtptRgTACt6TJkujWRVbjMNbXTVqpvfhfcQtEWcPHL7Hnm385Nhq,183119528,1141318,6,mkrc4jMLEPRoKLUnNL7Ctnwb7uJykbwiYvFjB4sw9Z9,,12.17,Bid,65.735
